Time(s)	Conductance(uS)
86.703000	15.332600
86.803000	15.332600
86.903000	15.202700
87.003000	15.202700
87.103000	15.202700
87.203000	15.202700
87.303000	15.202700
87.403000	15.202700
87.503000	15.202700
87.603000	15.202700
87.703000	15.202700
87.803000	15.332600
87.903000	15.332600
88.003000	15.332600
88.103000	15.462800
88.203000	14.301700
88.303000	14.046800
88.403000	15.202700
88.503000	15.073100
88.603000	15.073100
88.703000	15.332600
88.803000	14.557700
88.903000	0.000000
89.003000	15.462800
89.103000	14.429500
89.203000	12.913900
89.303000	11.925600
89.403000	11.681200
89.503000	11.803300
89.603000	11.925600
89.703000	11.925600
89.803000	12.048200
89.903000	12.171100
90.003000	12.171100
90.103000	12.171100
90.203000	12.171100
90.303000	12.171100
90.403000	12.294200
90.503000	12.294200
90.603000	12.417600
90.703000	12.417600
90.803000	12.541300
90.903000	12.789400
91.003000	12.789400
91.103000	12.913900
91.203000	13.540500
91.303000	14.429500
91.403000	14.686100
91.503000	13.289000
91.603000	15.855000
91.703000	14.943800
91.803000	15.724000
91.903000	1.791000
92.003000	15.986400
92.103000	15.462800
92.203000	13.038700
92.303000	14.686100
92.403000	14.557700
92.503000	15.332600
92.603000	15.462800
92.703000	14.046800
92.803000	15.332600
92.903000	15.332600
93.003000	15.202700
93.103000	15.202700
93.203000	15.332600
93.303000	15.332600
93.403000	3.963400
93.503000	0.000000
93.603000	14.174100
93.703000	15.462800
93.803000	15.073100
93.903000	14.686100
94.003000	14.814800
94.103000	15.073100
94.203000	14.557700
94.303000	15.462800
94.403000	15.593200
94.503000	15.462800
94.603000	15.462800
94.703000	15.593200
94.803000	15.332600
94.903000	15.073100
95.003000	15.202700
95.103000	15.202700
95.203000	15.462800
95.303000	15.332600
95.403000	15.593200
95.503000	15.724000
95.603000	15.462800
95.703000	15.593200
95.803000	15.332600
95.903000	15.462800
96.003000	15.593200
96.103000	15.593200
96.203000	15.202700
96.303000	15.593200
96.403000	15.855000
96.503000	15.593200
96.603000	15.724000
96.703000	15.986400
96.803000	15.724000
96.903000	15.855000
97.003000	15.986400
97.103000	15.724000
97.203000	15.855000
97.303000	15.986400
97.403000	15.855000
97.503000	15.986400
97.603000	15.986400
97.703000	15.855000
97.803000	16.118000
97.903000	16.250000
98.003000	15.986400
98.103000	16.118000
98.203000	15.986400
98.303000	14.943800
98.403000	15.202700
98.503000	15.855000
98.603000	14.943800
98.703000	16.118000
98.803000	16.118000
98.903000	16.250000
99.003000	15.986400
99.103000	15.462800
99.203000	15.986400
99.303000	15.986400
99.403000	15.724000
99.503000	15.986400
99.603000	16.118000
99.703000	16.250000
99.803000	16.382300
99.903000	16.382300
100.003000	16.250000
100.103000	16.382300
100.203000	16.382300
100.303000	16.382300
100.403000	16.382300
100.503000	16.382300
100.603000	16.382300
100.703000	15.462800
100.803000	15.986400
100.903000	14.943800
101.003000	15.073100
101.103000	14.429500
101.203000	14.686100
101.303000	15.462800
101.403000	16.250000
101.503000	16.382300
101.603000	16.382300
101.703000	16.382300
101.803000	16.382300
101.903000	16.382300
102.003000	16.382300
